anime_id,name,rating,genres,users_watched,users_rated,url
42670,Princess Connect! Re:Dive Season 2,7.87,"Action,Adventure,Comedy,Fantasy",97230,31547,https://myanimelist.net/anime/42670/Princess_Connect_Re_Dive_Season_2
30885,Noragami Aragoto OVA,7.87,"Comedy,Fantasy,Mythology,Shounen",239678,128241,https://myanimelist.net/anime/30885/Noragami_Aragoto_OVA
18429,Lupin III vs. Detective Conan: The Movie,7.87,"Action,Comedy,Mystery,Shounen",28721,15045,https://myanimelist.net/anime/18429/Lupin_III_vs_Detective_Conan__The_Movie
30415,High☆Speed! Movie: Free! Starting Days,7.87,"Drama,Sports,School",85317,38909,https://myanimelist.net/anime/30415/High%E2%98%86Speed_Movie__Free_Starting_Days
41497,Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,7.87,"Action,Fantasy,Supernatural,Isekai",56108,17992,https://myanimelist.net/anime/41497/Fate_Grand_Order__Shuukyoku_Tokuiten_-_Kani_Jikan_Shinden_Solomon
39164,Dramaturgy,7.87,Music,4822,3154,https://myanimelist.net/anime/39164/Dramaturgy
50364,Douluo Dalu: Xiaowu Fuhuo,7.87,"Action,Adventure,Fantasy,Romance,Historical,Martial Arts",3434,1665,https://myanimelist.net/anime/50364/Douluo_Dalu__Xiaowu_Fuhuo
51083,Douluo Dalu: Feng Qi Tang Men,7.87,"Action,Adventure,Fantasy,Historical,Martial Arts",2615,1174,https://myanimelist.net/anime/51083/Douluo_Dalu__Feng_Qi_Tang_Men
2761,Densetsu Kyojin Ideon: Hatsudou-hen,7.87,"Drama,Sci-Fi,Mecha,Space",8439,3115,https://myanimelist.net/anime/2761/Densetsu_Kyojin_Ideon__Hatsudou-hen
269,Bleach,7.87,"Action,Adventure,Fantasy,Shounen",1679756,980222,https://myanimelist.net/anime/269/Bleach
532,Bishoujo Senshi Sailor Moon S,7.87,"Drama,Romance,Mahou Shoujo,Shoujo",133596,71838,https://myanimelist.net/anime/532/Bishoujo_Senshi_Sailor_Moon_S
12113,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,7.87,"Action,Adventure,Drama,Fantasy,Horror,Supernatural,Gore,Military,Mythology,Seinen",188275,123049,https://myanimelist.net/anime/12113/Berserk__Ougon_Jidai-hen_II_-_Doldrey_Kouryaku
9513,Beelzebub,7.87,"Action,Comedy,Supernatural,Childcare,Delinquents,Mythology,School,Shounen",549601,261671,https://myanimelist.net/anime/9513/Beelzebub
39195,Beastars,7.87,"Drama,Slice of Life,Anthropomorphic,Psychological,School,Shounen",742229,463644,https://myanimelist.net/anime/39195/Beastars
1695,Les Misérables: Shoujo Cosette,7.88,"Drama,Slice of Life,Historical,Shoujo",26158,8426,https://myanimelist.net/anime/1695/Les_Mis%C3%A9rables__Shoujo_Cosette
42076,Inochi no Tabekata,7.88,"Horror,Supernatural,Music",3711,2428,https://myanimelist.net/anime/42076/Inochi_no_Tabekata
35075,Hoozuki no Reitetsu 2nd Season,7.88,"Comedy,Fantasy,Supernatural,Mythology,Seinen",43076,17206,https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season
780,Detective Conan Movie 02: The Fourteenth Target,7.88,"Adventure,Comedy,Mystery,Detective,Shounen",57725,35674,https://myanimelist.net/anime/780/Detective_Conan_Movie_02__The_Fourteenth_Target
10012,Carnival Phantasm,7.88,"Comedy,Supernatural,Parody",182222,89177,https://myanimelist.net/anime/10012/Carnival_Phantasm
6377,Zan Sayonara Zetsubou Sensei,7.88,"Comedy,Gag Humor,Parody,School,Shounen",100573,38677,https://myanimelist.net/anime/6377/Zan_Sayonara_Zetsubou_Sensei
20057,Space☆Dandy,7.88,"Comedy,Sci-Fi,Adult Cast,Space",320972,139818,https://myanimelist.net/anime/20057/Space%E2%98%86Dandy
49782,Shadows House 2nd Season,7.88,"Slice of Life,Supernatural,Seinen",59300,4068,https://myanimelist.net/anime/49782/Shadows_House_2nd_Season
20371,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,7.88,"Boys Love,Comedy,Drama,Romance",61376,29917,https://myanimelist.net/anime/20371/Sekaiichi_Hatsukoi_Movie__Yokozawa_Takafumi_no_Baai
38201,Osomatsu-san Movie,7.88,"Comedy,Gag Humor,Parody",13152,5396,https://myanimelist.net/anime/38201/Osomatsu-san_Movie
6007,Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,7.88,"Adventure,Fantasy,Romance,Adult Cast,Historical",156971,85998,https://myanimelist.net/anime/6007/Ookami_to_Koushinryou_II__Ookami_to_Kohakuiro_no_Yuuutsu
36215,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,7.88,"Action,Adventure,Fantasy,Shounen",33055,17591,https://myanimelist.net/anime/36215/One_Piece__Episode_of_East_Blue_-_Luffy_to_4-nin_no_Nakama_no_Daibouken
25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,7.88,"Adventure,Fantasy,Shounen",80123,48900,https://myanimelist.net/anime/25161/One_Piece_3D2Y__Ace_no_shi_wo_Koete_Luffy_Nakama_Tono_Chikai
4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,7.88,"Action,Comedy,Drama,Sci-Fi,Mahou Shoujo",29535,14543,https://myanimelist.net/anime/4985/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_1st
37936,Wu Shan Wu Xing (2020),7.89,"Action,Fantasy,Historical,Martial Arts",42479,14029,https://myanimelist.net/anime/37936/Wu_Shan_Wu_Xing_2020
8063,Sekaiichi Hatsukoi OVA,7.89,"Boys Love,Comedy,Drama,Romance",67084,35545,https://myanimelist.net/anime/8063/Sekaiichi_Hatsukoi_OVA
85,Mobile Suit Zeta Gundam,7.89,"Drama,Romance,Sci-Fi,Mecha,Military,Space",64454,32596,https://myanimelist.net/anime/85/Mobile_Suit_Zeta_Gundam
36563,Megalo Box,7.89,"Sci-Fi,Sports,Combat Sports",460232,246417,https://myanimelist.net/anime/36563/Megalo_Box
7711,Karigurashi no Arrietty,7.89,Fantasy,302157,190643,https://myanimelist.net/anime/7711/Karigurashi_no_Arrietty
10080,Kami nomi zo Shiru Sekai II,7.89,"Comedy,Romance,Supernatural,Harem,Otaku Culture,Shounen",366161,227951,https://myanimelist.net/anime/10080/Kami_nomi_zo_Shiru_Sekai_II
187,Initial D Third Stage,7.89,"Action,Drama,Romance,Racing,Seinen",150708,94602,https://myanimelist.net/anime/187/Initial_D_Third_Stage
3907,Ginga Sengoku Gunyuuden Rai,7.89,"Adventure,Romance,Sci-Fi,Space,Shounen",13979,4697,https://myanimelist.net/anime/3907/Ginga_Sengoku_Gunyuuden_Rai
44248,Fate/Grand Carnival,7.89,"Comedy,Fantasy,Supernatural",42892,14568,https://myanimelist.net/anime/44248/Fate_Grand_Carnival
34438,Code Geass: Hangyaku no Lelouch I - Koudou,7.89,"Action,Sci-Fi,Mecha,Military,School,Super Power",89185,33324,https://myanimelist.net/anime/34438/Code_Geass__Hangyaku_no_Lelouch_I_-_Koudou
37435,Carole & Tuesday,7.89,"Drama,Sci-Fi,Music",295637,129197,https://myanimelist.net/anime/37435/Carole___Tuesday
3572,Macross F,7.9,"Action,Romance,Sci-Fi,Mecha,Military,Music,Space",139363,64470,https://myanimelist.net/anime/3572/Macross_F
42745,Machikado Mazoku: 2-choume,7.9,"Comedy,Slice of Life,Mahou Shoujo",49119,12488,https://myanimelist.net/anime/42745/Machikado_Mazoku__2-choume
1594,Jigoku Shoujo Futakomori,7.9,"Horror,Mystery,Supernatural,Psychological",151608,64517,https://myanimelist.net/anime/1594/Jigoku_Shoujo_Futakomori
934,Higurashi no Naku Koro ni,7.9,"Horror,Mystery,Supernatural,Suspense,Gore,Psychological",742731,366615,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni
7062,Hidamari Sketch x ☆☆☆,7.9,"Comedy,Slice of Life,CGDCT,Iyashikei,School,Visual Arts,Seinen",25673,12146,https://myanimelist.net/anime/7062/Hidamari_Sketch_x_%E2%98%86%E2%98%86%E2%98%86
3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,7.9,"Action,Sci-Fi,Adult Cast,Military,Space",35385,20285,https://myanimelist.net/anime/3014/Ginga_Eiyuu_Densetsu__Waga_Yuku_wa_Hoshi_no_Taikai
35222,Gakuen Babysitters,7.9,"Comedy,Slice of Life,Childcare,Iyashikei,School,Shoujo",284966,145186,https://myanimelist.net/anime/35222/Gakuen_Babysitters
26213,Free! Eternal Summer: Kindan no All Hard!,7.9,"Comedy,Slice of Life,School",88080,43145,https://myanimelist.net/anime/26213/Free_Eternal_Summer__Kindan_no_All_Hard
2924,ef: A Tale of Memories.,7.9,"Drama,Mystery,Romance",242176,103830,https://myanimelist.net/anime/2924/ef__A_Tale_of_Memories
31339,Drifters,7.9,"Action,Adventure,Comedy,Fantasy,Adult Cast,Historical,Isekai,Samurai,Seinen",505520,247350,https://myanimelist.net/anime/31339/Drifters
14353,Death Billiards,7.9,"Drama,Supernatural,Suspense,Adult Cast,High Stakes Game,Psychological",222880,128739,https://myanimelist.net/anime/14353/Death_Billiards
29893,Aria the Avvenire,7.9,"Fantasy,Sci-Fi,Slice of Life,Iyashikei,Shounen",24976,9666,https://myanimelist.net/anime/29893/Aria_the_Avvenire
543,Vampire Hunter D (2000),7.9,"Action,Drama,Fantasy,Horror,Romance,Sci-Fi,Vampire",159895,81884,https://myanimelist.net/anime/543/Vampire_Hunter_D_2000
2158,Terra e... (TV),7.9,"Action,Drama,Sci-Fi,Military,Space,Shounen",58270,17903,https://myanimelist.net/anime/2158/Terra_e_TV
2752,Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,7.9,"Sports,Shounen",34999,19540,https://myanimelist.net/anime/2752/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen_-_Semifinal
995,Tennis no Ouji-sama: Zenkoku Taikai-hen,7.9,"Sports,Shounen",43364,24097,https://myanimelist.net/anime/995/Tennis_no_Ouji-sama__Zenkoku_Taikai-hen
11813,Shijou Saikyou no Deshi Kenichi OVA,7.9,"Action,Comedy,Martial Arts,School,Shounen",53379,27087,https://myanimelist.net/anime/11813/Shijou_Saikyou_no_Deshi_Kenichi_OVA
24,School Rumble,7.9,"Comedy,Romance,Gag Humor,Love Polygon,School,Shounen",309076,142697,https://myanimelist.net/anime/24/School_Rumble
957,Saiunkoku Monogatari,7.9,"Adventure,Comedy,Drama,Fantasy,Romance,Historical,Reverse Harem",89201,33503,https://myanimelist.net/anime/957/Saiunkoku_Monogatari
2159,Ookiku Furikabutte,7.9,"Comedy,Sports,Team Sports,Seinen",94435,38786,https://myanimelist.net/anime/2159/Ookiku_Furikabutte
32995,Yuri!!! on Ice,7.91,Sports,795708,481784,https://myanimelist.net/anime/32995/Yuri_on_Ice
